# m0 | m12  | ng          | ns          | nn          | ll          | sb       | ss       | tb          | bb          | gg       | sg
1000 | 900 | 1.16641 | 1.54198 | 1.06298 | 1.08767 | 3.5274 | 1.09704 | 3.95571 | 6.0356 | 18.1928 | 4.41346
1000 | 920 | 1.17781 | 1.56475 | 1.06191 | 1.09112 | 3.64078 | 1.09494 | 4.06664 | 6.31399 | 19.6078 | 4.56338
1000 | 940 | 1.1899 | 1.58481 | 1.05953 | 1.09535 | 3.77778 | 1.09362 | 4.17399 | 6.59903 | 20.8931 | 4.72917
1000 | 960 | 1.2047 | 1.60803 | 1.05752 | 1.0968 | 3.87674 | 1.09195 | 4.31554 | 6.94763 | 22.5984 | 4.9226
1000 | 980 | 1.22067 | 1.62579 | 1.05256 | 1.10021 | 3.97143 | 1.09375 | 4.4575 | 7.30466 | 24.3043 | 5.09259
100 | 100 | 1.06366 | 0.970524 | 1.35908 | 1.27634 | 1.523 | 1.29557 | 1.54188 | 1.6092 | 1.66479 | 1.23784
100 | 120 | 1.04417 | 0.98087 | 1.32451 | 1.26705 | 1.50515 | 1.26577 | 1.56758 | 1.64046 | 1.75 | 1.25457
100 | 140 | 1.02996 | 0.98896 | 1.30145 | 1.25575 | 1.49485 | 1.24031 | 1.59318 | 1.6637 | 1.83417 | 1.27041
100 | 160 | 1.01899 | 0.99639 | 1.28199 | 1.24648 | 1.48444 | 1.22634 | 1.61567 | 1.68597 | 1.91691 | 1.285
100 | 180 | 1.01059 | 1.00268 | 1.27203 | 1.23745 | 1.47368 | 1.21545 | 1.64535 | 1.71562 | 2.00613 | 1.30841
100 | 200 | 1.00153 | 1.00896 | 1.25387 | 1.22828 | 1.46951 | 1.20376 | 1.66794 | 1.73639 | 2.09476 | 1.33502
100 | 220 | 0.994485 | 1.01691 | 1.24359 | 1.2211 | 1.4594 | 1.19811 | 1.69279 | 1.76236 | 2.19221 | 1.35965
100 | 240 | 0.989566 | 1.02431 | 1.23084 | 1.2143 | 1.45608 | 1.1875 | 1.71181 | 1.79245 | 2.29954 | 1.38614
100 | 260 | 0.983996 | 1.03221 | 1.22112 | 1.20642 | 1.4538 | 1.17944 | 1.74132 | 1.82213 | 2.40678 | 1.41803
100 | 280 | 0.979739 | 1.0379 | 1.213 | 1.20032 | 1.45064 | 1.17579 | 1.762 | 1.84228 | 2.51515 | 1.44754
100 | 300 | 0.977892 | 1.04549 | 1.20206 | 1.19336 | 1.44667 | 1.17108 | 1.78564 | 1.8815 | 2.63298 | 1.48093
100 | 320 | 0.974777 | 1.05217 | 1.19511 | 1.18821 | 1.45791 | 1.16524 | 1.81637 | 1.90789 | 2.75688 | 1.51667
100 | 340 | 0.971881 | 1.06276 | 1.18585 | 1.18331 | 1.46022 | 1.16206 | 1.83085 | 1.94103 | 2.89844 | 1.5544
100 | 360 | 0.971356 | 1.07029 | 1.17869 | 1.17763 | 1.46714 | 1.15761 | 1.86404 | 1.97628 | 3.03268 | 1.5873
100 | 380 | 0.968247 | 1.07881 | 1.17139 | 1.17215 | 1.47203 | 1.15672 | 1.89378 | 2.01691 | 3.18182 | 1.63043
100 | 400 | 0.968857 | 1.087 | 1.16551 | 1.16918 | 1.48187 | 1.15502 | 1.92208 | 2.06575 | 3.33688 | 1.67213
100 | 420 | 0.968856 | 1.09714 | 1.15664 | 1.16539 | 1.49618 | 1.15089 | 1.95679 | 2.10534 | 3.51445 | 1.7139
100 | 440 | 0.967495 | 1.10571 | 1.15193 | 1.16181 | 1.50838 | 1.14603 | 1.98363 | 2.15479 | 3.70093 | 1.76423
100 | 460 | 0.971011 | 1.11617 | 1.14661 | 1.15634 | 1.5228 | 1.14677 | 2.02034 | 2.20482 | 3.8806 | 1.81928
100 | 480 | 0.971952 | 1.12505 | 1.14052 | 1.15532 | 1.53901 | 1.14333 | 2.0593 | 2.25564 | 4.08551 | 1.86726
100 | 500 | 0.972779 | 1.13412 | 1.13146 | 1.1502 | 1.56164 | 1.13778 | 2.08893 | 2.31068 | 4.30189 | 1.91958
100 | 520 | 0.974402 | 1.14732 | 1.1283 | 1.15021 | 1.57635 | 1.14286 | 2.13559 | 2.37512 | 4.54762 | 1.97343
1020 | 1000 | 1.23736 | 1.65026 | 1.05059 | 1.10914 | 4.10455 | 1.09302 | 4.62879 | 7.7829 | 26.4925 | 5.36296
1020 | 100 | 1.18822 | 1.09869 | 1.34059 | 1.05652 | 1.61745 | 1.33878 | 1.77435 | 1.93823 | 1.88657 | 1.7913
1020 | 120 | 1.15856 | 1.10476 | 1.32169 | 1.05649 | 1.60714 | 1.32906 | 1.78579 | 1.96215 | 1.97521 | 1.81462
1020 | 140 | 1.13094 | 1.1072 | 1.30799 | 1.05728 | 1.607 | 1.3242 | 1.79735 | 1.98439 | 2.08678 | 1.82466
1020 | 160 | 1.11076 | 1.11301 | 1.29723 | 1.05601 | 1.60776 | 1.31683 | 1.81259 | 2.00924 | 2.16981 | 1.83989
1020 | 180 | 1.0933 | 1.11407 | 1.28714 | 1.05593 | 1.6068 | 1.30435 | 1.66196 | 2.03649 | 2.28659 | 1.86179
1020 | 200 | 1.08069 | 1.11962 | 1.27335 | 1.05657 | 1.60556 | 1.30488 | 1.81282 | 2.06396 | 2.38589 | 1.88889
1020 | 220 | 1.06788 | 1.1263 | 1.26543 | 1.05619 | 1.62338 | 1.28767 | 1.87174 | 2.10186 | 2.51429 | 1.90833
1020 | 240 | 1.06111 | 1.13075 | 1.25609 | 1.05594 | 1.62595 | 1.29134 | 1.92303 | 2.12767 | 2.64341 | 1.92444
1020 | 260 | 1.05356 | 1.13765 | 1.24874 | 1.05701 | 1.6422 | 1.28182 | 1.9603 | 2.17818 | 2.75321 | 1.95326
1020 | 280 | 1.04607 | 1.14417 | 1.24007 | 1.0557 | 1.64641 | 1.2685 | 2.01386 | 2.22015 | 2.90488 | 1.97882
1020 | 300 | 1.03817 | 1.15115 | 1.22927 | 1.05611 | 1.65992 | 1.26708 | 2.04741 | 2.26309 | 3.04545 | 2.00993
1020 | 320 | 1.03416 | 1.15844 | 1.22409 | 1.05699 | 1.68333 | 1.25588 | 2.08424 | 2.30412 | 3.19685 | 2.04651
1020 | 340 | 1.02897 | 1.16641 | 1.21528 | 1.05668 | 1.69772 | 1.24694 | 2.11421 | 2.36229 | 3.35128 | 2.07143
1020 | 360 | 1.02502 | 1.17427 | 1.20763 | 1.05738 | 1.71948 | 1.2416 | 2.14914 | 2.42028 | 3.51474 | 2.10909
1020 | 380 | 1.02232 | 1.18401 | 1.20011 | 1.05644 | 1.74671 | 1.23604 | 2.18272 | 2.47452 | 3.72348 | 2.15287
1020 | 400 | 1.01999 | 1.19296 | 1.18996 | 1.05715 | 1.76987 | 1.22769 | 2.21233 | 2.54462 | 3.925 | 2.20641
1020 | 420 | 1.0183 | 1.20257 | 1.18431 | 1.05707 | 1.79679 | 1.22556 | 2.24861 | 2.61313 | 4.13265 | 2.24566
1020 | 440 | 1.01734 | 1.21231 | 1.17934 | 1.05704 | 1.82759 | 1.2212 | 2.28842 | 2.68462 | 4.37086 | 2.29412
1020 | 460 | 1.01631 | 1.22165 | 1.17064 | 1.05749 | 1.85714 | 1.20904 | 2.33186 | 2.76591 | 4.61333 | 2.34783
1020 | 480 | 1.01782 | 1.23161 | 1.1639 | 1.05973 | 1.90198 | 1.20979 | 2.37506 | 2.8374 | 4.87179 | 2.41216
1020 | 500 | 1.01924 | 1.24533 | 1.15764 | 1.05902 | 1.9419 | 1.2087 | 2.40741 | 2.93896 | 5.15646 | 2.4717
1020 | 520 | 1.02035 | 1.2592 | 1.15362 | 1.06065 | 1.98994 | 1.2013 | 2.46995 | 3.01932 | 5.45259 | 2.52632
1020 | 540 | 1.024 | 1.26852 | 1.14571 | 1.06041 | 2.04267 | 1.19892 | 2.51089 | 3.12579 | 5.76531 | 2.59191
1020 | 560 | 1.02511 | 1.27894 | 1.14066 | 1.06202 | 2.09187 | 1.19322 | 2.55974 | 3.2343 | 6.1126 | 2.67352
1020 | 580 | 1.0296 | 1.29353 | 1.1334 | 1.06416 | 2.13615 | 1.18511 | 2.62389 | 3.34281 | 6.49789 | 2.7509
1020 | 600 | 1.03371 | 1.30522 | 1.12851 | 1.06346 | 2.1875 | 1.17647 | 2.66634 | 3.47819 | 6.88742 | 2.82323
1020 | 620 | 1.03956 | 1.31827 | 1.1231 | 1.06583 | 2.2521 | 1.16892 | 2.73555 | 3.59732 | 7.35417 | 2.9078
1020 | 640 | 1.04528 | 1.33412 | 1.11914 | 1.06658 | 2.2973 | 1.15812 | 2.79761 | 3.70793 | 7.84314 | 2.9703
1020 | 660 | 1.05257 | 1.34713 | 1.11231 | 1.06728 | 2.37082 | 1.15217 | 2.8595 | 3.83427 | 8.32061 | 3.05132
1020 | 680 | 1.06109 | 1.36299 | 1.10921 | 1.06907 | 2.43299 | 1.14583 | 2.94118 | 3.96684 | 8.84921 | 3.1384
1020 | 700 | 1.06851 | 1.37453 | 1.10658 | 1.07131 | 2.51124 | 1.13274 | 2.99669 | 4.09547 | 9.38272 | 3.20548
1020 | 720 | 1.07857 | 1.38917 | 1.09925 | 1.07178 | 2.58621 | 1.13455 | 3.08388 | 4.24128 | 10 | 3.31395
1020 | 740 | 1.08605 | 1.41072 | 1.094 | 1.07448 | 2.67368 | 1.12775 | 3.15984 | 4.40361 | 10.6777 | 3.41758
