# m0 | m12 | xsec in pb!
1060 | 880  | 0.0007
1060 | 900  | 0.0006
1060 | 920  | 0.0005
1060 | 940  | 0.0004
1060 | 960  | 0.0003
1060 | 980  | 0.0003
1080 | 1000 | 0.0002
1080 | 100  | 87.1300
1080 | 120  | 32.1800
1080 | 140  | 14.6500
1080 | 160  | 7.6500
1080 | 180  | 4.3380
1080 | 200  | 2.5980
1080 | 220  | 1.6570
1080 | 240  | 1.0960
1080 | 260  | 0.7427
1080 | 280  | 0.5226
1080 | 300  | 0.3731
1080 | 320  | 0.2715
1080 | 340  | 0.2005
1080 | 360  | 0.1506
1080 | 380  | 0.1143
1080 | 400  | 0.0872
1080 | 420  | 0.0670
1080 | 440  | 0.0522
1080 | 460  | 0.0413
1080 | 480  | 0.0327
1080 | 500  | 0.0259
1080 | 520  | 0.0207
1080 | 540  | 0.0167
1080 | 560  | 0.0134
1080 | 580  | 0.0108
1080 | 600  | 0.0088
1080 | 620  | 0.0072
1080 | 640  | 0.0059
1080 | 660  | 0.0049
1080 | 680  | 0.0040
1080 | 700  | 0.0033
1080 | 720  | 0.0027
1080 | 740  | 0.0023
1080 | 760  | 0.0019
1080 | 780  | 0.0016
1080 | 800  | 0.0013
1080 | 820  | 0.0011
1080 | 840  | 0.0009
1080 | 860  | 0.0008
1080 | 880  | 0.0007
1080 | 900  | 0.0006
1080 | 920  | 0.0005
1080 | 940  | 0.0004
1080 | 960  | 0.0003
1080 | 980  | 0.0003
1100 | 1000 | 0.0002
1100 | 100  | 86.8600
1100 | 120  | 31.8700
1100 | 140  | 14.6200
1100 | 160  | 7.6240
1100 | 180  | 4.3170
1100 | 200  | 2.6050
1100 | 220  | 1.6410
1100 | 240  | 1.0930
1100 | 260  | 0.7439
1100 | 280  | 0.5152
1100 | 300  | 0.3705
1100 | 320  | 0.2695
1100 | 340  | 0.1993
1100 | 360  | 0.1489
1100 | 380  | 0.1131
1100 | 400  | 0.0872
1100 | 420  | 0.0675
1100 | 440  | 0.0524
1100 | 460  | 0.0412
1100 | 480  | 0.0325
1100 | 500  | 0.0257
1100 | 520  | 0.0206
1100 | 540  | 0.0165
1100 | 560  | 0.0134
1100 | 580  | 0.0109
1100 | 600  | 0.0089
1100 | 620  | 0.0072
1100 | 640  | 0.0059
1100 | 660  | 0.0049
1100 | 680  | 0.0040
1100 | 700  | 0.0033
1100 | 720  | 0.0028
1100 | 740  | 0.0023
1100 | 760  | 0.0019
1100 | 780  | 0.0016
1100 | 800  | 0.0013
1100 | 820  | 0.0011
1100 | 840  | 0.0009
1100 | 860  | 0.0008
1100 | 880  | 0.0007
1100 | 900  | 0.0006
1100 | 920  | 0.0005
1100 | 940  | 0.0004
1100 | 960  | 0.0003
1100 | 980  | 0.0003
1120 | 1000 | 0.0002
1120 | 100  | 85.8900
1120 | 120  | 31.8300
1120 | 140  | 14.5900
1120 | 160  | 7.5800
1120 | 180  | 4.3000
1120 | 200  | 2.5830
1120 | 220  | 1.6360
1120 | 240  | 1.0830
1120 | 260  | 0.7348
1120 | 280  | 0.5187
1120 | 300  | 0.3688
1120 | 320  | 0.2704
1120 | 340  | 0.1985
1120 | 360  | 0.1487
1120 | 380  | 0.1127
1120 | 400  | 0.0868
1120 | 420  | 0.0664
1120 | 440  | 0.0522
1120 | 460  | 0.0412
1120 | 480  | 0.0325
1120 | 500  | 0.0257
1120 | 520  | 0.0206
1120 | 540  | 0.0165
1120 | 560  | 0.0134
1120 | 580  | 0.0109
1120 | 600  | 0.0088
1120 | 620  | 0.0072
1120 | 640  | 0.0059
1120 | 660  | 0.0048
1120 | 680  | 0.0040
1120 | 700  | 0.0033
1120 | 720  | 0.0027
1120 | 740  | 0.0023
1120 | 760  | 0.0019
1120 | 780  | 0.0016
1120 | 800  | 0.0013
1120 | 820  | 0.0011
1120 | 840  | 0.0009
1120 | 860  | 0.0008
1120 | 880  | 0.0007
1120 | 900  | 0.0006
1120 | 920  | 0.0005
1120 | 940  | 0.0004
1120 | 960  | 0.0003
1120 | 980  | 0.0003
1140 | 1000 | 0.0002
1140 | 100  | 85.8900
1140 | 120  | 31.7000
1140 | 140  | 14.5600
1140 | 160  | 7.5230
1140 | 180  | 4.2630
1140 | 200  | 2.5680
1140 | 220  | 1.6380
1140 | 240  | 1.0790
1140 | 260  | 0.7333
1140 | 280  | 0.5122
1140 | 300  | 0.3678
1140 | 320  | 0.2669
1140 | 340  | 0.1982
1140 | 360  | 0.1488
1140 | 380  | 0.1124
1140 | 400  | 0.0864
1140 | 420  | 0.0670
1140 | 440  | 0.0519
1140 | 460  | 0.0411
1140 | 480  | 0.0324
1140 | 500  | 0.0257
1140 | 520  | 0.0205
1140 | 540  | 0.0166
1140 | 560  | 0.0133
1140 | 580  | 0.0108
1140 | 600  | 0.0088
1140 | 620  | 0.0071
1140 | 640  | 0.0059
1140 | 660  | 0.0049
1140 | 680  | 0.0040
1140 | 700  | 0.0033
1140 | 720  | 0.0027
1140 | 740  | 0.0023
1140 | 760  | 0.0019
1140 | 780  | 0.0016
1140 | 800  | 0.0013
1140 | 820  | 0.0011
1140 | 840  | 0.0009
1140 | 860  | 0.0008
1140 | 880  | 0.0007
1140 | 900  | 0.0006
1140 | 920  | 0.0005
1140 | 940  | 0.0004
1140 | 960  | 0.0003
1140 | 980  | 0.0003
1160 | 1000 | 0.0002
1160 | 100  | 85.9500
1160 | 120  | 31.5400
1160 | 140  | 14.4400
1160 | 160  | 7.5430
1160 | 180  | 4.2480
1160 | 200  | 2.5640
1160 | 220  | 1.6220
1160 | 240  | 1.0760
1160 | 260  | 0.7327
1160 | 280  | 0.5101
1160 | 300  | 0.3644
1160 | 320  | 0.2659
1160 | 340  | 0.1970
1160 | 360  | 0.1483
1160 | 380  | 0.1126
1160 | 400  | 0.0861
1160 | 420  | 0.0666
1160 | 440  | 0.0516
1160 | 460  | 0.0409
1160 | 480  | 0.0324
1160 | 500  | 0.0259
1160 | 520  | 0.0206
1160 | 540  | 0.0165
1160 | 560  | 0.0133
1160 | 580  | 0.0108
1160 | 600  | 0.0089
1160 | 620  | 0.0072
1160 | 640  | 0.0059
1160 | 660  | 0.0049
1160 | 680  | 0.0040
1160 | 700  | 0.0033
1160 | 720  | 0.0028
1160 | 740  | 0.0023
1160 | 760  | 0.0019
1160 | 780  | 0.0016
1160 | 800  | 0.0013
1160 | 820  | 0.0011
1160 | 840  | 0.0009
1160 | 860  | 0.0008
1160 | 880  | 0.0007
1160 | 900  | 0.0006
1160 | 920  | 0.0005
1160 | 940  | 0.0004
1160 | 960  | 0.0003
1160 | 980  | 0.0003
1180 | 1000 | 0.0002
1180 | 100  | 85.6900
1180 | 120  | 31.5300
1180 | 140  | 14.4200
1180 | 160  | 7.4840
1180 | 180  | 4.2370
1180 | 200  | 2.5520
1180 | 220  | 1.6240
1180 | 240  | 1.0680
1180 | 260  | 0.7288
1180 | 280  | 0.5119
1180 | 300  | 0.3648
1180 | 320  | 0.2660
1180 | 340  | 0.1972
1180 | 360  | 0.1475
1180 | 380  | 0.1122
1180 | 400  | 0.0861
1180 | 420  | 0.0665
1180 | 440  | 0.0520
1180 | 460  | 0.0410
1180 | 480  | 0.0321
1180 | 500  | 0.0257
1180 | 520  | 0.0205
1180 | 540  | 0.0165
1180 | 560  | 0.0134
1180 | 580  | 0.0109
1180 | 600  | 0.0088
1180 | 620  | 0.0072
1180 | 640  | 0.0059
1180 | 660  | 0.0049
1180 | 680  | 0.0040
1180 | 700  | 0.0033
1180 | 720  | 0.0028
1180 | 740  | 0.0023
1180 | 760  | 0.0019
1180 | 780  | 0.0016
1180 | 800  | 0.0013
1180 | 820  | 0.0011
1180 | 840  | 0.0009
1180 | 860  | 0.0008
1180 | 880  | 0.0007
1180 | 900  | 0.0006
1180 | 920  | 0.0005
1180 | 940  | 0.0004
1180 | 960  | 0.0003
1180 | 980  | 0.0003
1200 | 1000 | 0.0002
1200 | 100  | 85.5300
1200 | 120  | 31.2800
1200 | 140  | 14.3600
1200 | 160  | 7.4510
